"degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"PhD","E-mail",NA,NA,NA,"American",152,18.1,2
"MS","Website",NA,NA,NA,"International",26,3.3,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",57,8.4,2
"PhD","Phone",3.7,156,169,"International",152,18.1,2
"PhD","E-mail",3.5,154,166,"International",68,8.7,2
"MS","E-mail",NA,NA,NA,"International",53,4.8,3
"MS","E-mail",3.95,157,163,"American",57,11.5,2
"MS","Website",NA,NA,NA,"International",73,6.7,3
"PhD","E-mail",NA,NA,NA,"International",25,3.5,4
"PhD","E-mail",NA,NA,NA,"International",37,5,1
"PhD","E-mail",3.9,156,164,"American",83,9.9,1
"MS","Website",NA,NA,NA,"International",55,4.3,3
"MS","E-mail",NA,NA,NA,"International",25,3.5,2
"PhD","Website",NA,NA,NA,"International with US Degree",39,2.4,4
"MS","E-mail",NA,160,170,"International",63,8.6,3
"PhD","E-mail",NA,NA,NA,"International",22,2.4,3
"MS","E-mail",3.81,170,150,"International",10,1.2,4
"PhD","E-mail",NA,NA,NA,"International with US Degree",30,2.3,2
"PhD","E-mail",NA,NA,NA,"International",52,6.4,2
"PhD","Other",NA,139,168,"International",NA,NA,2
"PhD","E-mail",3.81,143,169,"International",10,1.5,3
"PhD","E-mail",3.59,160,166,"American",57,8.4,2
"MS","E-mail",3.94,161,168,"International",26,2.5,2
"PhD","E-mail",NA,NA,NA,"International",28,2.9,6
"MS","Website",3.4,154,170,"International",22,2.8,3
"MS","E-mail",3.75,155,167,"International with US Degree",53,6.9,2
"PhD","E-mail",NA,NA,NA,"International",11,1.4,4
"PhD","E-mail",NA,NA,NA,"American",83,9.9,1
"PhD","E-mail",NA,NA,NA,"International",48,5.9,3
"PhD","Other",NA,NA,NA,"International with US Degree",85,12.3,2
"MS","Website",3.2,158,159,"International",55,4.3,2
"MS","E-mail",NA,NA,NA,"American",47,5.8,4
"MS","Website",3.3,158,161,"International",73,6.7,4
"MS","E-mail",NA,NA,NA,"International",43,3.6,5
"MS","E-mail",3.51,151,164,"International",48,5.9,2
"MS","E-mail",NA,NA,NA,"International",53,4.8,3
"PhD","E-mail",3.66,166,151,"International",22,2.4,3
"MS","E-mail",NA,NA,NA,"International",57,11.5,3
"PhD","E-mail",3.7,163,170,"International with US Degree",46,5.6,2
"PhD","Website",NA,NA,NA,"International",13,1.8,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",22,2.5,3
"PhD","E-mail",3.4,147,170,"International",24,2,1
"PhD","E-mail",3.3,154,168,"International",48,5.9,2
"PhD","E-mail",3.86,154,160,"International with US Degree",50,4.7,2
